ReportDate,Date,GEOID10,County,Active,Cases,Deaths,Recovered,TOT_POP,CS_RATE,DTH_RATE,REC_RATE,SOURCE,NCHS_DESC,ACT_RATE
11/03/2021,11/18/2021 11:00AM,40077.0,Latimer,8,1484,23,1453,10073.0,14732.453092425296,228.33316787451602,14424.6996922466,OSDH,Noncore,79.42023230417948
11/03/2021,11/18/2021 11:00AM,40003.0,Alfalfa,16,1322,9,1297,5702.0,23184.84742195721,157.83935461241668,22746.404770256053,OSDH,Noncore,280.60329708874076
11/03/2021,11/18/2021 11:00AM,40093.0,Major,23,1293,32,1238,7629.0,16948.486040110107,419.45209070651464,16227.552759208284,OSDH,Noncore,301.48119019530736
11/03/2021,11/18/2021 11:00AM,40075.0,Kiowa,10,1149,41,1098,8708.0,13194.763435920991,470.83141938447403,12609.09508497933,OSDH,Noncore,114.83693155718879
11/03/2021,11/18/2021 11:00AM,40029.0,Coal,12,1063,20,1031,5495.0,19344.858962693357,363.9672429481347,18762.511373976344,OSDH,Noncore,218.3803457688808
11/03/2021,11/18/2021 11:00AM,40141.0,Tillman,5,993,24,964,7250.0,13696.551724137931,331.0344827586207,13296.551724137931,OSDH,Noncore,68.9655172413793
11/03/2021,11/18/2021 11:00AM,40033.0,Cotton,3,991,23,965,5666.0,17490.29297564419,405.9301094246382,17031.41546064243,OSDH,Small metro,52.94740557712672
11/03/2021,11/18/2021 11:00AM,40067.0,Jefferson,6,940,20,914,6002.0,15661.446184605133,333.2222592469177,15228.25724758414,OSDH,Noncore,99.96667777407531
11/03/2021,11/18/2021 11:00AM,40055.0,Greer,4,748,25,719,5712.0,13095.238095238095,437.6750700280112,12587.535014005602,OSDH,Noncore,70.0280112044818
11/03/2021,11/18/2021 11:00AM,40053.0,Grant,6,701,8,687,4333.0,16178.167551350103,184.62958689129934,15855.065774290331,OSDH,Noncore,138.4721901684745
11/03/2021,11/18/2021 11:00AM,40043.0,Dewey,7,687,19,661,4891.0,14046.20731956655,388.4686158249847,13514.618687384995,OSDH,Noncore,143.1200163565733
11/03/2021,11/18/2021 11:00AM,40007.0,Beaver,4,574,9,561,5311.0,10807.757484466201,169.4596121257767,10562.982489173413,OSDH,Noncore,75.31538316701186
11/03/2021,11/18/2021 11:00AM,40129.0,Roger Mills,11,509,12,486,3583.0,14205.972648618475,334.9148758024002,13564.052469997208,OSDH,Noncore,307.0053028188668
11/03/2021,11/18/2021 11:00AM,40059.0,Harper,14,503,10,479,3688.0,13638.82863340564,271.14967462039044,12988.069414316702,OSDH,Noncore,379.60954446854663
11/03/2021,11/18/2021 11:00AM,40045.0,Ellis,25,486,6,455,3859.0,12593.936252915264,155.48069448043535,11790.619331433014,OSDH,Noncore,647.836227001814
11/03/2021,11/18/2021 11:00AM,40057.0,Harmon,3,363,7,353,2653.0,13682.623445156427,263.8522427440633,13305.691669807766,OSDH,Noncore,113.07953260459857
11/03/2021,11/18/2021 11:00AM,40025.0,Cimarron,1,329,2,326,2137.0,15395.414131960692,93.58914365933552,15255.03041647169,OSDH,Noncore,46.79457182966776
11/03/2021,11/18/2021 11:00AM,0.0,0,16,87,0,71,0.0,inf,,inf,OSDH,0,inf
