Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active
74501,360,11,272,08/22/2020,28016,12.849800114220445,0.39263278126784695,77
74128,350,4,312,08/22/2020,13005,26.91272587466359,0.30757400999615536,34
73139,349,6,310,08/22/2020,17563,19.871320389455104,0.341627284632466,33
74145,343,1,295,08/22/2020,18580,18.46071044133477,0.05382131324004306,47
74112,339,6,290,08/22/2020,20892,16.2263067202757,0.2871912693854107,43
74066,337,6,291,08/22/2020,33041,10.199449169214006,0.1815925668109319,40
74701,337,1,284,08/22/2020,25267,13.337554913523569,0.03957731428345273,52
73102,336,0,181,08/22/2020,4996,67.25380304243394,0.0,155
74135,329,10,287,08/22/2020,20849,15.780133339728525,0.47963931123794906,32
73110,327,5,259,08/22/2020,33383,9.7954048467783,0.14977683251954588,63
73401,318,4,273,08/22/2020,35952,8.845126835781041,0.11125945705384957,41
73703,312,5,196,08/22/2020,30331,10.286505555372392,0.1648478454386601,111
74745,312,5,271,08/22/2020,9499,32.84556269080956,0.5263711969681019,36
73505,297,5,259,08/22/2020,48713,6.096935109724304,0.10264200521421386,33
74033,285,3,253,08/22/2020,11999,23.75197933161097,0.25002083506958916,29
73008,284,1,246,08/22/2020,20240,14.031620553359684,0.04940711462450593,37
74403,282,10,207,08/22/2020,30573,9.223824943577666,0.32708599090700946,65
74063,278,4,242,08/22/2020,31703,8.768886225278365,0.12617102482414916,32
74106,273,4,228,08/22/2020,18075,15.103734439834026,0.22130013831258644,41
74960,273,5,193,08/22/2020,13497,20.226717048232942,0.37045269319107954,75
73135,264,4,226,08/22/2020,22790,11.584028082492322,0.17551557700745943,34
74107,261,5,218,08/22/2020,19734,13.225904530252356,0.25336981858720986,38
73114,261,1,230,08/22/2020,18312,14.252948885976409,0.054608999563128,30
74429,260,13,217,08/22/2020,15208,17.096265123619148,0.8548132561809574,30
73051,257,2,180,08/22/2020,10399,24.713914799499953,0.19232618521011635,75
74354,245,3,205,08/22/2020,17926,13.667298895459108,0.16735468035256051,37
74075,244,1,217,08/22/2020,24891,9.80273994616528,0.040175163713792136,26
74019,243,3,208,08/22/2020,18185,13.36266153423151,0.16497113005224087,32
73018,242,4,223,08/22/2020,20214,11.971900662906897,0.19788265558523796,15
73501,237,3,227,08/22/2020,20617,11.49536790027647,0.145510986079449,7
73036,235,1,176,08/22/2020,20920,11.233269598470365,0.04780114722753346,58
73122,235,2,208,08/22/2020,12789,18.37516615841739,0.1563843928375948,25
73064,234,2,206,08/22/2020,23526,9.946442234123948,0.08501232678738417,26
