,ReportDate,Date,Zip,Cases,Deaths,Recovered
363,08/01/2020,08/02/2020 11:00AM,74554,6,0,3
364,08/01/2020,08/02/2020 11:00AM,74463,6,0,1
365,08/01/2020,08/02/2020 11:00AM,73014,6,0,5
366,08/01/2020,08/02/2020 11:00AM,74957,6,1,4
367,08/01/2020,08/02/2020 11:00AM,74050,6,0,5
368,08/01/2020,08/02/2020 11:00AM,74062,6,0,6
369,08/01/2020,08/02/2020 11:00AM,73053,6,2,4
370,08/01/2020,08/02/2020 11:00AM,73092,6,0,5
371,08/01/2020,08/02/2020 11:00AM,74366,6,0,3
372,08/01/2020,08/02/2020 11:00AM,73620,5,0,5
373,08/01/2020,08/02/2020 11:00AM,74824,5,1,3
374,08/01/2020,08/02/2020 11:00AM,74081,5,0,5
375,08/01/2020,08/02/2020 11:00AM,74633,5,0,3
376,08/01/2020,08/02/2020 11:00AM,73931,5,0,5
377,08/01/2020,08/02/2020 11:00AM,73568,5,2,3
378,08/01/2020,08/02/2020 11:00AM,74734,5,0,4
379,08/01/2020,08/02/2020 11:00AM,74563,5,0,3
380,08/01/2020,08/02/2020 11:00AM,74963,5,0,5
381,08/01/2020,08/02/2020 11:00AM,74936,5,0,2
382,08/01/2020,08/02/2020 11:00AM,73848,5,0,3
383,08/01/2020,08/02/2020 11:00AM,74561,5,0,5
384,08/01/2020,08/02/2020 11:00AM,74951,5,0,4
385,08/01/2020,08/02/2020 11:00AM,74852,5,0,3
386,08/01/2020,08/02/2020 11:00AM,74533,5,0,4
387,08/01/2020,08/02/2020 11:00AM,73669,5,0,5
388,08/01/2020,08/02/2020 11:00AM,74940,5,0,2
389,08/01/2020,08/02/2020 11:00AM,74060,5,0,5
390,08/01/2020,08/02/2020 11:00AM,74340,5,0,2
391,08/01/2020,08/02/2020 11:00AM,74826,5,0,3
392,08/01/2020,08/02/2020 11:00AM,74543,5,0,0
393,08/01/2020,08/02/2020 11:00AM,73842,5,0,5
394,08/01/2020,08/02/2020 11:00AM,74425,5,0,5
395,08/01/2020,08/02/2020 11:00AM,73090,5,0,5
396,08/01/2020,08/02/2020 11:00AM,74521,5,0,3
397,08/01/2020,08/02/2020 11:00AM,74553,5,0,4
398,08/01/2020,08/02/2020 11:00AM,73938,4,0,4
399,08/01/2020,08/02/2020 11:00AM,73632,4,0,3
400,08/01/2020,08/02/2020 11:00AM,74349,4,0,3
401,08/01/2020,08/02/2020 11:00AM,73067,4,0,3
402,08/01/2020,08/02/2020 11:00AM,74565,4,0,4
403,08/01/2020,08/02/2020 11:00AM,74901,4,0,2
404,08/01/2020,08/02/2020 11:00AM,74083,4,0,3
405,08/01/2020,08/02/2020 11:00AM,73481,4,0,3
406,08/01/2020,08/02/2020 11:00AM,74471,4,0,3
407,08/01/2020,08/02/2020 11:00AM,73759,4,0,1
408,08/01/2020,08/02/2020 11:00AM,73458,4,1,3
409,08/01/2020,08/02/2020 11:00AM,74872,4,0,3
410,08/01/2020,08/02/2020 11:00AM,73738,4,0,4
411,08/01/2020,08/02/2020 11:00AM,74641,4,1,1
412,08/01/2020,08/02/2020 11:00AM,74350,4,0,1
413,08/01/2020,08/02/2020 11:00AM,74430,4,0,3
414,08/01/2020,08/02/2020 11:00AM,73834,4,0,0
415,08/01/2020,08/02/2020 11:00AM,74832,4,0,3
416,08/01/2020,08/02/2020 11:00AM,73766,4,0,4
417,08/01/2020,08/02/2020 11:00AM,73944,4,0,4
418,08/01/2020,08/02/2020 11:00AM,74724,4,0,4
419,08/01/2020,08/02/2020 11:00AM,73048,4,0,3
420,08/01/2020,08/02/2020 11:00AM,73754,4,0,4
421,08/01/2020,08/02/2020 11:00AM,73664,4,0,3
422,08/01/2020,08/02/2020 11:00AM,74084,4,0,2
423,08/01/2020,08/02/2020 11:00AM,73755,4,0,4
424,08/01/2020,08/02/2020 11:00AM,74562,4,0,3
425,08/01/2020,08/02/2020 11:00AM,74722,4,0,3
426,08/01/2020,08/02/2020 11:00AM,73073,4,0,4
427,08/01/2020,08/02/2020 11:00AM,73450,3,0,2
428,08/01/2020,08/02/2020 11:00AM,73461,3,0,3
429,08/01/2020,08/02/2020 11:00AM,73559,3,0,2
430,08/01/2020,08/02/2020 11:00AM,73430,3,0,3
431,08/01/2020,08/02/2020 11:00AM,74359,3,0,2
432,08/01/2020,08/02/2020 11:00AM,73549,3,0,2
433,08/01/2020,08/02/2020 11:00AM,74833,3,0,0
434,08/01/2020,08/02/2020 11:00AM,73625,3,0,3
435,08/01/2020,08/02/2020 11:00AM,74552,3,0,3
436,08/01/2020,08/02/2020 11:00AM,73050,3,0,3
437,08/01/2020,08/02/2020 11:00AM,74034,3,0,3
438,08/01/2020,08/02/2020 11:00AM,73859,3,0,3
439,08/01/2020,08/02/2020 11:00AM,73858,3,0,1
440,08/01/2020,08/02/2020 11:00AM,74827,3,0,0
441,08/01/2020,08/02/2020 11:00AM,73058,3,0,2
442,08/01/2020,08/02/2020 11:00AM,74748,3,0,2
443,08/01/2020,08/02/2020 11:00AM,73544,3,0,1
444,08/01/2020,08/02/2020 11:00AM,74850,3,0,1
445,08/01/2020,08/02/2020 11:00AM,74738,3,0,3
446,08/01/2020,08/02/2020 11:00AM,74558,3,0,1
447,08/01/2020,08/02/2020 11:00AM,74531,3,0,3
448,08/01/2020,08/02/2020 11:00AM,74446,3,0,3
