Zip,Cases,Deaths,Recovered,ReportDate,TOT_POP,CS_RATE,DTH_RATE,Active,Date
74878,9,0,8,08/24/2020,1397,6.442376521116679,0.0,1,08/24/2020 11:00AM
73447,9,0,9,08/24/2020,1319,6.823351023502654,0.0,0,08/24/2020 11:00AM
73062,9,1,5,08/24/2020,1296,6.944444444444444,0.7716049382716049,3,08/24/2020 11:00AM
73048,8,0,7,08/24/2020,2438,3.281378178835111,0.0,1,08/24/2020 11:00AM
74054,8,0,8,08/24/2020,800,10.0,0.0,0,08/24/2020 11:00AM
74852,8,0,6,08/24/2020,1406,5.689900426742533,0.0,2,08/24/2020 11:00AM
73724,8,0,2,08/24/2020,1173,6.820119352088661,0.0,6,08/24/2020 11:00AM
74738,8,0,6,08/24/2020,686,11.661807580174926,0.0,2,08/24/2020 11:00AM
73079,8,0,7,08/24/2020,495,16.161616161616163,0.0,1,08/24/2020 11:00AM
74741,8,0,8,08/24/2020,997,8.02407221664995,0.0,0,08/24/2020 11:00AM
73669,8,0,7,08/24/2020,1750,4.571428571428572,0.0,1,08/24/2020 11:00AM
74556,8,0,7,08/24/2020,359,22.284122562674096,0.0,1,08/24/2020 11:00AM
74867,8,0,7,08/24/2020,736,10.869565217391305,0.0,1,08/24/2020 11:00AM
74423,8,0,5,08/24/2020,981,8.15494393476045,0.0,3,08/24/2020 11:00AM
73741,8,0,2,08/24/2020,1712,4.672897196261682,0.0,6,08/24/2020 11:00AM
73834,8,0,7,08/24/2020,1513,5.287508261731658,0.0,1,08/24/2020 11:00AM
73053,8,2,5,08/24/2020,757,10.568031704095112,2.642007926023778,1,08/24/2020 11:00AM
74062,8,0,8,08/24/2020,1016,7.874015748031496,0.0,0,08/24/2020 11:00AM
73754,7,0,6,08/24/2020,1060,6.60377358490566,0.0,1,08/24/2020 11:00AM
74460,7,0,4,08/24/2020,170,41.1764705882353,0.0,3,08/24/2020 11:00AM
74633,7,0,5,08/24/2020,341,20.527859237536656,0.0,2,08/24/2020 11:00AM
74630,7,1,4,08/24/2020,752,9.308510638297872,1.3297872340425532,2,08/24/2020 11:00AM
74430,7,0,6,08/24/2020,464,15.086206896551724,0.0,1,08/24/2020 11:00AM
74824,7,1,4,08/24/2020,1445,4.844290657439446,0.6920415224913494,2,08/24/2020 11:00AM
73090,7,0,7,08/24/2020,1078,6.493506493506494,0.0,0,08/24/2020 11:00AM
